Time_s,Truth_kph,RawMT_kph,RawValid,Method,Kalman_kph,KalmanAccel_kph_s
0.114,0.259428233096983,NaN,0,T,0,0
0.115,0.261576501795539,NaN,0,T,0,0
0.116,0.263721490139527,NaN,0,T,0,0
0.117,0.265863172110961,NaN,0,T,0,0
0.118,0.268001521755818,NaN,0,T,0,0
0.119,0.270136513184536,NaN,0,T,0,0
0.12,0.272268120572516,0,1,T,0,0
0.121,0.27439631816062,NaN,0,T,0,0
0.122,0.276521080255672,NaN,0,T,0,0
0.123,0.278642381230952,NaN,0,T,0,0
0.124,0.280760195526695,NaN,0,T,0,0
0.125,0.282874497650582,NaN,0,T,0,0
0.126,0.284985262178236,NaN,0,T,0,0
0.127,0.287092463753712,NaN,0,T,0,0
0.128,0.289196077089989,NaN,0,T,0,0
0.129,0.291296076969456,NaN,0,T,0,0
0.13,0.293392438244407,0,1,T,0,0
0.131,0.295485135837516,NaN,0,T,0,0
0.132,0.297574144742335,NaN,0,T,0,0
0.133,0.299659440023766,NaN,0,T,0,0
0.134,0.301740996818554,NaN,0,T,0,0
0.135,0.303818790335758,NaN,0,T,0,0
0.136,0.305892795857239,NaN,0,T,0,0
0.137,0.307962988738132,NaN,0,T,0,0
0.138,0.310029344407327,NaN,0,T,0,0
0.139,0.312091838367941,NaN,0,T,0,0
0.14,0.314150446197794,0,1,T,0,0
0.141,0.316205143549881,NaN,0,T,0,0
0.142,0.318255906152843,NaN,0,T,0,0
0.143,0.320302709811436,NaN,0,T,0,0
0.144,0.322345530407,NaN,0,T,0,0
0.145,0.324384343897924,NaN,0,T,0,0
0.146,0.326419126320113,NaN,0,T,0,0
0.147,0.328449853787448,NaN,0,T,0,0
0.148,0.330476502492255,NaN,0,T,0,0
0.149,0.332499048705758,NaN,0,T,0,0
0.15,0.334517468778542,0,1,T,0,0
0.151,0.336531739141009,NaN,0,T,0,0
0.152,0.338541836303837,NaN,0,T,0,0
0.153,0.340547736858429,NaN,0,T,0,0
0.154,0.342549417477371,NaN,0,T,0,0
0.155,0.344546854914879,NaN,0,T,0,0
0.156,0.346540026007254,NaN,0,T,0,0
0.157,0.348528907673324,NaN,0,T,0,0
0.158,0.350513476914894,NaN,0,T,0,0
0.159,0.352493710817191,NaN,0,T,0,0
0.16,0.354469586549305,0,1,T,0,0
0.161,0.356441081364635,NaN,0,T,0,0
0.162,0.358408172601324,NaN,0,T,0,0
0.163,0.360370837682699,NaN,0,T,0,0
0.164,0.362329054117709,NaN,0,T,0,0
0.165,0.36428279950136,NaN,0,T,0,0
0.166,0.366232051515149,NaN,0,T,0,0
0.167,0.36817678792749,NaN,0,T,0,0
0.168,0.370116986594154,NaN,0,T,0,0
0.169,0.372052625458688,NaN,0,T,0,0
0.17,0.373983682552847,0,1,T,0,0
0.171,0.375910135997018,NaN,0,T,0,0
0.172,0.377831964000642,NaN,0,T,0,0
0.173,0.379749144862637,NaN,0,T,0,0
0.174,0.381661656971817,NaN,0,T,0,0
0.175,0.38356947880731,NaN,0,T,0,0
0.176,0.385472588938974,NaN,0,T,0,0
0.177,0.387370966027814,NaN,0,T,0,0
0.178,0.389264588826389,NaN,0,T,0,0
0.179,0.391153436179232,NaN,0,T,0,0
0.18,0.39303748702325,NaN,0,T,0,0
0.181,0.394916720388137,0,1,T,0,0
0.182,0.396791115396778,NaN,0,T,0,0
0.183,0.398660651265654,NaN,0,T,0,0
0.184,0.400525307305242,NaN,0,T,0,0
0.185,0.402385062920416,NaN,0,T,0,0
0.186,0.404239897610847,NaN,0,T,0,0
0.187,0.406089790971398,NaN,0,T,0,0
0.188,0.407934722692519,NaN,0,T,0,0
0.189,0.409774672560639,NaN,0,T,0,0
0.19,0.411609620458559,NaN,0,T,0,0
0.191,0.413439546365839,0,1,T,0,0
0.192,0.415264430359187,NaN,0,T,0,0
0.193,0.417084252612845,NaN,0,T,0,0
0.194,0.41889899339897,NaN,0,T,0,0
0.195,0.420708633088015,NaN,0,T,0,0
0.196,0.422513152149115,NaN,0,T,0,0
0.197,0.424312531150456,NaN,0,T,0,0
0.198,0.42610675075966,NaN,0,T,0,0
0.199,0.427895791744149,NaN,0,T,0,0
0.2,0.429679634971526,NaN,0,T,0,0
0.201,0.431458261409941,0,1,T,0,0
0.202,0.43323165212846,NaN,0,T,0,0
0.203,0.434999788297427,NaN,0,T,0,0
0.204,0.436762651188838,NaN,0,T,0,0
0.205,0.438520222176694,NaN,0,T,0,0
0.206,0.440272482737363,NaN,0,T,0,0
0.207,0.442019414449944,NaN,0,T,0,0
0.208,0.443760998996617,NaN,0,T,0,0
0.209,0.445497218162999,NaN,0,T,0,0
0.21,0.4472280538385,NaN,0,T,0,0
0.211,0.448953488016667,0,1,T,0,0
0.212,0.450673502795537,NaN,0,T,0,0
0.213,0.452388080377984,NaN,0,T,0,0
0.214,0.454097203072057,NaN,0,T,0,0
0.215,0.455800853291331,NaN,0,T,0,0
0.216,0.457499013555239,NaN,0,T,0,0
0.217,0.459191666489416,NaN,0,T,0,0
0.218,0.460878794826033,NaN,0,T,0,0
0.219,0.46256038140413,NaN,0,T,0,0
0.22,0.46423640916995,NaN,0,T,0,0
0.221,0.465906861177266,0,1,T,0,0
0.222,0.467571720587712,NaN,0,T,0,0
0.223,0.469230970671109,NaN,0,T,0,0
0.224,0.470884594805783,NaN,0,T,0,0
0.225,0.472532576478895,NaN,0,T,0,0
0.226,0.474174899286752,NaN,0,T,0,0
0.227,0.475811546935132,NaN,0,T,0,0
0.228,0.477442503239592,NaN,0,T,0,0
0.229,0.479067752125788,NaN,0,T,0,0
0.23,0.480687277629779,NaN,0,T,0,0
0.231,0.482301063898343,0,1,T,0,0
0.232,0.483909095189277,NaN,0,T,0,0
0.233,0.485511355871707,NaN,0,T,0,0
0.234,0.487107830426385,NaN,0,T,0,0
0.235,0.488698503445995,NaN,0,T,0,0
0.236,0.490283359635447,NaN,0,T,0,0
0.237,0.491862383812175,NaN,0,T,0,0
0.238,0.493435560906426,NaN,0,T,0,0
0.239,0.495002875961561,NaN,0,T,0,0
0.24,0.496564314134334,NaN,0,T,0,0
0.241,0.498119860695186,0,1,T,0,0
0.242,0.499669501028527,NaN,0,T,0,0
0.243,0.501213220633019,NaN,0,T,0,0
0.244,0.502751005121859,NaN,0,T,0,0
0.245,0.504282840223051,NaN,0,T,0,0
0.246,0.505808711779691,NaN,0,T,0,0
0.247,0.507328605750233,NaN,0,T,0,0
0.248,0.508842508208765,NaN,0,T,0,0
0.249,0.510350405345277,NaN,0,T,0,0
0.25,0.511852283465929,NaN,0,T,0,0
0.251,0.513348128993313,0,1,T,0,0
0.252,0.51483792846672,NaN,0,T,0,0
0.253,0.516321668542398,NaN,0,T,0,0
0.254,0.51779933599381,NaN,0,T,0,0
0.255,0.519270917711889,NaN,0,T,0,0
0.256,0.520736400705296,NaN,0,T,0,0
0.257,0.522195772100664,NaN,0,T,0,0
0.258,0.523649019142855,NaN,0,T,0,0
0.259,0.5250961291952,NaN,0,T,0,0
0.26,0.526537089739749,NaN,0,T,0,0
0.261,0.527971888377507,0,1,T,0,0
0.262,0.529400512828681,NaN,0,T,0,0
0.263,0.530822950932912,NaN,0,T,0,0
0.264,0.532239190649512,NaN,0,T,0,0
0.265,0.533649220057697,NaN,0,T,0,0
0.266,0.53505302735682,NaN,0,T,0,0
0.267,0.536450600866593,NaN,0,T,0,0
0.268,0.537841929027321,NaN,0,T,0,0
0.269,0.539227000400117,NaN,0,T,0,0
0.27,0.540605803667132,NaN,0,T,0,0
0.271,0.541978327631766,0,1,T,0,0
0.272,0.543344561218893,NaN,0,T,0,0
0.273,0.544704493475065,NaN,0,T,0,0
0.274,0.546058113568734,NaN,0,T,0,0
0.275,0.547405410790454,NaN,0,T,0,0
0.276,0.548746374553092,NaN,0,T,0,0
0.277,0.550080994392033,NaN,0,T,0,0
0.278,0.551409259965381,NaN,0,T,0,0
0.279,0.552731161054157,NaN,0,T,0,0
0.28,0.554046687562503,NaN,0,T,0,0
0.281,0.55535582951787,0,1,T,0,0
0.282,0.556658577071216,NaN,0,T,0,0
0.283,0.557954920497195,NaN,0,T,0,0
0.284,0.559244850194344,NaN,0,T,0,0
0.285,0.56052835668527,NaN,0,T,0,0
0.286,0.561805430616834,NaN,0,T,0,0
0.287,0.56307606276033,NaN,0,T,0,0
0.288,0.564340244011664,NaN,0,T,0,0
0.289,0.565597965391532,NaN,0,T,0,0
0.29,0.566849218045591,NaN,0,T,0,0
0.291,0.568093993244632,0,1,T,0,0
0.292,0.569332282384749,NaN,0,T,0,0
0.293,0.570564076987504,NaN,0,T,0,0
0.294,0.571789368700093,NaN,0,T,0,0
0.295,0.573008149295506,NaN,0,T,0,0
0.296,0.574220410672685,NaN,0,T,0,0
0.297,0.575426144856684,NaN,0,T,0,0
0.298,0.576625343998823,NaN,0,T,0,0
0.299,0.577818000376835,NaN,0,T,0,0
0.3,0.579004106395021,NaN,0,T,0,0
0.301,0.580183654584394,0,1,T,0,0
0.302,0.581356637602826,NaN,0,T,0,0
0.303,0.582523048235184,NaN,0,T,0,0
0.304,0.583682879393479,NaN,0,T,0,0
0.305,0.584836124116995,NaN,0,T,0,0
0.306,0.585982775572427,NaN,0,T,0,0
0.307,0.587122827054012,NaN,0,T,0,0
0.308,0.588256271983661,NaN,0,T,0,0
0.309,0.589383103911084,NaN,0,T,0,0
0.31,0.590503316513915,NaN,0,T,0,0
0.311,0.591616903597837,0,1,T,0,0
0.312,0.592723859096697,NaN,0,T,0,0
0.313,0.593824177072627,NaN,0,T,0,0
0.314,0.594917851716158,NaN,0,T,0,0
0.315,0.596004877346333,NaN,0,T,0,0
0.316,0.597085248410814,NaN,0,T,0,0
0.317,0.598158959485993,NaN,0,T,0,0
0.318,0.599226005277096,NaN,0,T,0,0
0.319,0.600286380618284,NaN,0,T,0,0
0.32,0.601340080472754,NaN,0,T,0,0
0.321,0.602387099932835,0,1,T,0,0
0.322,0.603427434220087,NaN,0,T,0,0
0.323,0.604461078685389,NaN,0,T,0,0
0.324,0.605488028809029,NaN,0,T,0,0
0.325,0.606508280200795,NaN,0,T,0,0
0.326,0.607521828600058,NaN,0,T,0,0
0.327,0.608528669875854,NaN,0,T,0,0
0.328,0.609528800026964,NaN,0,T,0,0
0.329,0.61052221518199,NaN,0,T,0,0
